A	Read1	Read2	Read1 after QC	Read2 after QC	Singleton
Total bases 	 26500	 26500	 21101	 18841	 3217
total reads 	 265	 265	 229	 229	 34
% bases >=Q20 	 86.453	 78.566	 88.451	 82.915	 88.094
% bases >=Q30 	 77.875	 68.981	 80.257	 73.871	 79.049
Average read length 	 100.000	 100.000	 92.144	 82.275	 94.618
Read length range 	 100 .. 100	 100 .. 100	 53 .. 100	 50 .. 100	 73 .. 100
Quality range 	 33 .. 74	 33 .. 74	 33 .. 74	 33 .. 74	 33 .. 74
Phred range 	 0 .. 41	 0 .. 41	 0 .. 41	 0 .. 41	 0 .. 41
Offset 	 33	 33	 33	 33	 33
A 	 6939	 6997	 5455	 4984	 899
T 	 7427	 7329	 5982	 5244	 838
G 	 6154	 6078	 4917	 4268	 728
C 	 5979	 6096	 4747	 4345	 752
N 	 1	 0	 0	 0	 0
percent G-C content 	 45.785	 45.940	 45.799	 45.714	 46.006
