Sample1	Read1	Read2	Read1 after QC	Read2 after QC	Singleton
Total bases 	 740009	 743075	 450568	 398731	 59562
total reads 	 2500	 2500	 1736	 1736	 612
% bases >=Q20 	 77.419	 65.885	 94.475	 91.530	 88.053
% bases >=Q30 	 63.051	 47.672	 85.234	 78.498	 75.803
Average read length 	 296.004	 297.230	 259.544	 229.684	 97.324
Read length range 	 35 .. 301	 35 .. 301	 51 .. 301	 50 .. 301	 50 .. 301
Quality range 	 35 .. 71	 35 .. 71	 40 .. 71	 40 .. 71	 40 .. 71
Phred range 	 2 .. 38	 2 .. 38	 7 .. 38	 7 .. 38	 7 .. 38
Offset 	 33	 33	 33	 33	 33
A 	 226116	 203738	 151627	 132435	 17675
T 	 264546	 276831	 153611	 139709	 22258
G 	 106905	 96296	 71935	 61136	 8759
C 	 142407	 166175	 73395	 65451	 10870
N 	 35	 35	 0	 0	 0
percent G-C content 	 33.690	 35.322	 32.255	 31.747	 32.956
